gene	n_possible_gensup_ti	n_gensup_ti_developed	n_nosup_ti_developed	launched	omim_supported	gwas_supported
ITGB3	3	0	4	TRUE	TRUE	TRUE
ITK	1	0	5	FALSE	TRUE	TRUE
JAG1	19	0	1	FALSE	TRUE	TRUE
JAK1	9	0	42	TRUE	TRUE	TRUE
JAK2	17	6	21	TRUE	TRUE	TRUE
JAK3	2	0	13	TRUE	TRUE	FALSE
JUN	3	0	6	FALSE	FALSE	TRUE
KAT6A	4	1	3	FALSE	TRUE	TRUE
KCNA5	2	1	3	FALSE	TRUE	TRUE
KCNH2	6	1	1	TRUE	TRUE	TRUE
KCNJ1	5	0	3	FALSE	TRUE	TRUE
KCNJ11	5	2	1	TRUE	TRUE	TRUE
KCNK2	4	0	1	FALSE	FALSE	TRUE
KCNMA1	8	0	8	FALSE	TRUE	TRUE
KCNN4	5	0	1	FALSE	TRUE	TRUE
KCNQ5	6	0	1	FALSE	TRUE	TRUE
KDR	12	2	37	TRUE	FALSE	TRUE
KIF11	4	0	30	FALSE	TRUE	TRUE
KISS1R	1	1	2	FALSE	TRUE	FALSE
KIT	18	4	28	TRUE	TRUE	TRUE
KLK2	1	1	0	FALSE	FALSE	TRUE
KLK3	1	1	2	TRUE	FALSE	TRUE
KLKB1	8	0	6	TRUE	TRUE	TRUE
KLRC1	2	0	10	FALSE	FALSE	FALSE
KLRG1	1	0	1	FALSE	FALSE	TRUE
KMT2A	12	0	3	FALSE	TRUE	TRUE
KRAS	29	3	1	TRUE	TRUE	TRUE
KRT6A	1	1	0	FALSE	TRUE	FALSE
LAMP1	1	0	2	FALSE	FALSE	TRUE
LAMP2	1	1	0	FALSE	TRUE	FALSE
LCAT	6	1	4	FALSE	TRUE	TRUE
LCK	1	0	2	TRUE	FALSE	TRUE
LDHA	2	0	1	FALSE	TRUE	TRUE
LDLR	14	0	3	FALSE	TRUE	TRUE
LEP	4	1	0	FALSE	TRUE	TRUE
LEPR	18	1	2	FALSE	TRUE	TRUE
LHCGR	7	1	3	TRUE	FALSE	TRUE
LIFR	5	0	4	FALSE	TRUE	TRUE
LINGO1	10	0	3	FALSE	FALSE	TRUE
LIPA	8	1	0	TRUE	TRUE	TRUE
LOX	4	0	9	FALSE	TRUE	TRUE
LOXL2	1	1	13	FALSE	FALSE	TRUE
LPA	27	3	1	FALSE	FALSE	TRUE
LPAR1	6	0	6	FALSE	FALSE	TRUE
LPL	18	1	2	TRUE	TRUE	TRUE
LRP1	2	0	6	FALSE	FALSE	TRUE
LRP5	9	0	1	FALSE	TRUE	TRUE
LRRC32	19	0	1	FALSE	TRUE	TRUE
LRRK2	7	1	4	FALSE	FALSE	TRUE
LTA	2	0	2	FALSE	FALSE	TRUE
LTBR	1	0	7	FALSE	FALSE	FALSE
LTC4S	1	0	2	FALSE	TRUE	FALSE
LTF	1	0	10	FALSE	FALSE	TRUE
LY75	2	0	4	FALSE	FALSE	FALSE
LYN	4	0	14	TRUE	TRUE	TRUE
MADCAM1	1	0	1	FALSE	FALSE	TRUE
MAG	3	0	4	FALSE	TRUE	FALSE
MALT1	2	0	3	FALSE	TRUE	TRUE
MAN2B1	1	1	0	TRUE	TRUE	FALSE
MAP2	1	0	2	FALSE	FALSE	TRUE
MAP2K1	7	3	4	TRUE	TRUE	TRUE
MAP2K2	1	0	7	TRUE	TRUE	TRUE
MAP2K4	8	0	1	FALSE	FALSE	TRUE
MAP3K11	3	0	4	FALSE	FALSE	FALSE
MAP3K19	1	0	1	FALSE	FALSE	TRUE
MAP3K5	3	0	5	FALSE	FALSE	TRUE
MAP3K8	4	1	1	FALSE	FALSE	TRUE
MAPK14	1	1	50	TRUE	FALSE	TRUE
MAPK3	4	0	1	FALSE	FALSE	FALSE
MAPK8IP1	1	0	9	FALSE	FALSE	TRUE
MAPT	9	3	1	FALSE	TRUE	TRUE
MARCKS	1	0	5	FALSE	FALSE	TRUE
MASP1	1	0	1	FALSE	FALSE	TRUE
MAT2A	4	0	1	FALSE	FALSE	TRUE
MBD2	2	0	1	FALSE	FALSE	TRUE
MBL2	4	0	1	FALSE	FALSE	TRUE
MBP	1	0	3	FALSE	FALSE	TRUE
MC1R	11	3	25	TRUE	FALSE	TRUE
MC4R	18	2	8	TRUE	FALSE	TRUE
MCAM	1	0	5	FALSE	FALSE	TRUE
MCL1	2	0	8	FALSE	FALSE	TRUE
MDM2	3	0	18	FALSE	FALSE	TRUE
MDM4	4	1	6	FALSE	FALSE	TRUE
METAP1	1	0	2	FALSE	FALSE	TRUE
METAP2	4	0	6	FALSE	FALSE	TRUE
MEX3B	3	0	1	FALSE	FALSE	TRUE
MGMT	5	0	6	FALSE	FALSE	TRUE
MME	5	0	4	FALSE	TRUE	TRUE
MMP1	1	0	6	TRUE	FALSE	TRUE
MMP12	2	0	6	FALSE	FALSE	TRUE
MMP2	2	0	3	FALSE	TRUE	TRUE
MMP9	2	0	12	FALSE	TRUE	TRUE
MMUT	2	1	0	FALSE	TRUE	TRUE
MOGAT2	2	0	2	FALSE	FALSE	TRUE
MPL	3	1	7	TRUE	TRUE	TRUE
MPO	4	0	12	FALSE	TRUE	TRUE
MS4A4A	1	0	1	FALSE	FALSE	TRUE
MSLN	1	1	10	FALSE	FALSE	TRUE
MST1R	1	0	5	FALSE	FALSE	FALSE
MTM1	1	1	0	FALSE	TRUE	FALSE
MTNR1A	1	0	5	TRUE	FALSE	TRUE
MTNR1B	10	2	3	TRUE	FALSE	TRUE
MTOR	9	7	43	TRUE	FALSE	TRUE
MTTP	4	0	3	FALSE	TRUE	TRUE
MUC1	10	1	21	FALSE	FALSE	TRUE
MUC16	2	0	2	FALSE	FALSE	TRUE
MUC17	1	0	4	FALSE	FALSE	TRUE
MYC	28	2	9	FALSE	FALSE	TRUE
MYO7A	1	0	1	FALSE	TRUE	TRUE
NAMPT	3	0	9	FALSE	FALSE	TRUE
NCL	3	0	16	FALSE	FALSE	TRUE
NFATC1	12	0	1	FALSE	FALSE	TRUE
NFE2L2	13	3	29	TRUE	TRUE	TRUE
NFKB1	13	3	24	TRUE	TRUE	TRUE
NFKBIA	14	0	5	FALSE	TRUE	TRUE
NGF	9	0	9	TRUE	TRUE	TRUE
NGFR	1	0	8	TRUE	FALSE	TRUE
NISCH	2	0	1	FALSE	FALSE	FALSE
NLRP3	13	2	14	FALSE	TRUE	TRUE
NLRX1	1	0	3	FALSE	FALSE	FALSE
NOS1	4	0	12	FALSE	FALSE	TRUE
NOS2	5	0	10	FALSE	FALSE	TRUE
NOS3	9	1	7	FALSE	FALSE	TRUE
NOTCH1	18	3	8	FALSE	TRUE	TRUE
NOTCH2	20	2	7	FALSE	TRUE	TRUE
NOTCH3	2	0	1	FALSE	TRUE	TRUE
NPC1L1	3	1	1	TRUE	FALSE	TRUE
NPM1	1	0	1	FALSE	FALSE	TRUE
NPPC	1	0	1	FALSE	FALSE	TRUE
NPR1	2	1	4	FALSE	FALSE	TRUE
NPY	2	0	1	FALSE	FALSE	TRUE
NPY1R	2	0	1	FALSE	FALSE	TRUE
NPY5R	1	1	1	FALSE	FALSE	TRUE
NR1H3	5	0	7	FALSE	FALSE	TRUE
NR1H4	6	4	20	TRUE	TRUE	TRUE
NR2E3	4	1	0	FALSE	TRUE	TRUE
NR3C1	9	1	86	TRUE	TRUE	TRUE
NRG1	16	0	1	FALSE	FALSE	TRUE
NRG4	5	0	1	FALSE	FALSE	TRUE
NRP1	7	0	9	FALSE	FALSE	TRUE
NRP2	2	0	7	FALSE	FALSE	TRUE
NT5E	2	0	13	FALSE	TRUE	TRUE
NTN1	2	0	3	FALSE	TRUE	TRUE
NTRK1	3	1	10	TRUE	TRUE	FALSE
NTRK2	4	0	3	TRUE	TRUE	TRUE
NTRK3	4	0	2	TRUE	FALSE	TRUE
NTSR1	1	0	7	FALSE	FALSE	TRUE
OPRD1	1	0	16	TRUE	FALSE	TRUE
OPRL1	1	0	15	FALSE	FALSE	FALSE
OPRM1	5	2	26	TRUE	FALSE	TRUE
ORAI1	2	0	8	FALSE	TRUE	FALSE
OSM	1	0	4	FALSE	FALSE	TRUE
OSMR	6	0	3	FALSE	TRUE	TRUE
OXTR	1	0	9	TRUE	FALSE	TRUE
P2RX4	1	0	3	FALSE	FALSE	TRUE
P2RX7	1	0	13	FALSE	FALSE	TRUE
P2RY2	7	0	4	FALSE	FALSE	TRUE
PAH	1	0	1	TRUE	FALSE	TRUE
PARP1	2	1	21	TRUE	FALSE	TRUE
PCK1	6	0	2	FALSE	TRUE	TRUE
PCSK9	10	3	4	TRUE	FALSE	TRUE
PDE10A	13	1	5	FALSE	FALSE	TRUE
PDE2A	4	0	3	FALSE	TRUE	TRUE
PDE3A	23	1	5	FALSE	TRUE	TRUE
PDE4A	2	0	24	TRUE	FALSE	TRUE
PDE4B	11	0	10	TRUE	FALSE	TRUE
PDE4C	3	0	4	TRUE	FALSE	TRUE
PDE4D	4	0	6	TRUE	TRUE	TRUE
PDE5A	3	0	26	TRUE	FALSE	TRUE
PDE6B	1	1	0	FALSE	TRUE	TRUE
PDE7A	5	1	2	FALSE	FALSE	TRUE
PDE9A	2	0	7	FALSE	FALSE	TRUE
PDGFB	6	0	4	FALSE	TRUE	TRUE
PDGFD	3	0	3	FALSE	FALSE	TRUE
PDGFRA	10	2	25	TRUE	TRUE	TRUE
PDGFRB	3	0	20	TRUE	TRUE	TRUE
PDYN	1	0	2	FALSE	TRUE	TRUE
PFKFB3	3	0	5	FALSE	FALSE	TRUE
PGF	1	0	13	FALSE	FALSE	TRUE
PGR	1	1	24	TRUE	FALSE	TRUE
PHB	2	0	2	FALSE	FALSE	TRUE
PI4KB	1	0	1	FALSE	TRUE	FALSE
PIK3CA	24	10	24	TRUE	TRUE	TRUE
PIK3CB	4	0	5	TRUE	FALSE	TRUE
PIK3CD	4	1	27	TRUE	TRUE	TRUE
PIK3CG	4	0	12	TRUE	TRUE	TRUE
PIKFYVE	1	0	3	FALSE	TRUE	FALSE
PIM1	6	0	1	FALSE	FALSE	TRUE
PKLR	1	1	3	TRUE	TRUE	FALSE
PKM	1	0	1	FALSE	FALSE	FALSE
PKN3	6	0	8	FALSE	FALSE	TRUE
PLA2G4A	4	0	6	FALSE	FALSE	TRUE
PLA2G6	3	0	3	FALSE	TRUE	TRUE
PLA2G7	2	1	4	FALSE	TRUE	TRUE
PLAT	1	0	6	TRUE	FALSE	TRUE
PLAU	3	0	15	TRUE	FALSE	TRUE
PLEC	6	0	1	FALSE	TRUE	TRUE
PLG	9	2	15	TRUE	TRUE	TRUE
PLK1	1	0	24	FALSE	FALSE	TRUE
PLK4	1	0	5	FALSE	TRUE	FALSE
PNP	5	0	10	TRUE	TRUE	TRUE
PNPLA3	19	1	0	FALSE	FALSE	TRUE
POLA1	2	0	12	TRUE	TRUE	TRUE
POLQ	6	0	1	FALSE	FALSE	TRUE
POMC	4	0	4	FALSE	TRUE	TRUE
PPARA	4	2	17	TRUE	FALSE	TRUE
PPARD	3	0	14	TRUE	FALSE	TRUE
PPARG	26	4	15	TRUE	FALSE	TRUE
PPIA	1	0	21	TRUE	FALSE	TRUE
PPIB	1	0	3	FALSE	TRUE	TRUE
PPP1R15A	2	0	4	FALSE	FALSE	TRUE
PPT1	1	1	5	FALSE	TRUE	TRUE
PREP	5	0	1	FALSE	FALSE	TRUE
PRG2	2	0	1	FALSE	FALSE	TRUE
PRKCA	9	0	1	FALSE	FALSE	TRUE
PRKCB	12	2	4	FALSE	FALSE	TRUE
PRKCD	1	0	12	TRUE	TRUE	TRUE
PRKCE	10	0	9	FALSE	FALSE	TRUE
PRKDC	3	0	6	FALSE	TRUE	TRUE
PRLR	3	1	7	FALSE	TRUE	TRUE
PROC	3	0	11	FALSE	TRUE	TRUE
PRTN3	3	0	3	FALSE	FALSE	TRUE
PSCA	3	1	3	FALSE	FALSE	FALSE
PSEN1	3	1	0	FALSE	TRUE	FALSE
PSMB8	6	0	1	FALSE	TRUE	FALSE
PTEN	30	0	2	FALSE	TRUE	TRUE
PTGDS	1	0	1	FALSE	FALSE	FALSE
PTGER3	1	0	3	TRUE	FALSE	TRUE
PTGER4	11	1	15	FALSE	FALSE	TRUE
PTGES	1	0	17	FALSE	FALSE	TRUE
PTGFR	2	0	3	TRUE	FALSE	TRUE
PTGIR	1	0	17	TRUE	FALSE	TRUE
PTGS2	1	0	33	TRUE	FALSE	TRUE
PTH	2	1	0	FALSE	TRUE	TRUE
PTH1R	5	0	12	TRUE	TRUE	TRUE
PTHLH	3	0	2	FALSE	TRUE	TRUE
PTK2	3	0	20	FALSE	FALSE	TRUE
PTMA	2	0	1	FALSE	FALSE	TRUE
PTPN1	6	0	3	TRUE	FALSE	TRUE
PTPN11	11	1	6	TRUE	TRUE	TRUE
PTPN2	15	0	1	FALSE	FALSE	TRUE
PTPN6	2	0	1	TRUE	FALSE	FALSE
PTPRC	22	0	1	FALSE	TRUE	TRUE
PTPRS	2	1	2	FALSE	FALSE	TRUE
PVR	3	0	8	FALSE	FALSE	TRUE
PYGL	3	0	1	FALSE	TRUE	TRUE
QPCT	1	0	3	FALSE	FALSE	TRUE
RAD51	2	0	2	FALSE	TRUE	FALSE
RAF1	8	1	25	TRUE	TRUE	TRUE
RARA	2	0	7	TRUE	TRUE	FALSE
RARB	16	0	2	TRUE	TRUE	TRUE
RB1	17	0	1	FALSE	TRUE	FALSE
RBP4	1	0	2	FALSE	TRUE	FALSE
REN	3	0	13	TRUE	TRUE	TRUE
RET	5	3	17	TRUE	TRUE	TRUE
RGMA	4	0	5	FALSE	FALSE	TRUE
RHD	4	0	2	FALSE	FALSE	TRUE
RIPK1	3	0	9	FALSE	TRUE	FALSE
RLBP1	2	1	0	FALSE	TRUE	FALSE
ROBO1	9	0	2	FALSE	FALSE	TRUE
ROCK2	7	0	13	TRUE	FALSE	TRUE
ROR1	1	0	8	FALSE	FALSE	TRUE
ROR2	2	0	7	FALSE	TRUE	TRUE
ROS1	3	0	3	TRUE	FALSE	TRUE
RPE65	3	2	6	TRUE	TRUE	TRUE
RPGR	3	1	0	FALSE	TRUE	FALSE
RPGRIP1	3	1	0	FALSE	TRUE	TRUE
RPS6KA2	3	0	1	FALSE	FALSE	TRUE
RRM1	1	0	11	TRUE	FALSE	TRUE
RS1	1	1	0	FALSE	TRUE	FALSE
RSPO3	25	0	2	FALSE	FALSE	TRUE
RTN4	4	0	5	FALSE	FALSE	TRUE
RXRG	1	0	2	FALSE	FALSE	TRUE
RYR1	4	2	5	TRUE	TRUE	TRUE
RYR2	5	1	1	FALSE	TRUE	TRUE
S1PR1	6	0	18	TRUE	FALSE	TRUE
SARM1	1	0	2	FALSE	FALSE	FALSE
SCD	4	0	6	FALSE	FALSE	TRUE
SCN10A	4	0	2	FALSE	TRUE	TRUE
SCN1A	6	4	10	TRUE	TRUE	TRUE
SCN2A	6	1	8	TRUE	TRUE	TRUE
SCN3A	3	1	8	TRUE	TRUE	TRUE
SCN5A	6	3	10	TRUE	TRUE	TRUE
SCN8A	4	0	4	FALSE	TRUE	TRUE
SCN9A	1	1	24	TRUE	TRUE	FALSE
SCTR	1	0	2	FALSE	FALSE	TRUE
SDC1	10	0	3	FALSE	FALSE	TRUE
SELE	1	0	11	FALSE	FALSE	TRUE
SELP	2	0	11	TRUE	FALSE	TRUE
SEMA4D	2	0	8	FALSE	FALSE	TRUE
SERPINA1	20	2	10	TRUE	TRUE	TRUE
SERPINC1	1	0	14	TRUE	TRUE	FALSE
SERPINF2	2	0	4	FALSE	TRUE	TRUE
SERPING1	3	1	6	TRUE	TRUE	TRUE
SERPINH1	3	0	4	FALSE	TRUE	TRUE
SETD2	15	1	1	FALSE	TRUE	TRUE
SF3B1	15	2	2	FALSE	FALSE	FALSE
SGMS1	1	0	7	FALSE	FALSE	TRUE
SGPL1	1	0	5	FALSE	TRUE	TRUE
SGSH	1	1	0	FALSE	TRUE	FALSE
SIK3	5	0	1	FALSE	FALSE	TRUE
SIRPA	9	0	5	FALSE	FALSE	TRUE
SKP2	1	0	1	FALSE	FALSE	TRUE
SLAMF6	2	0	1	FALSE	FALSE	TRUE
SLAMF7	3	0	1	TRUE	FALSE	TRUE
SLC10A2	3	0	11	TRUE	FALSE	TRUE
SLC12A1	3	0	2	TRUE	TRUE	TRUE
SLC12A2	8	0	3	TRUE	TRUE	TRUE
SLC16A1	3	0	4	FALSE	FALSE	TRUE
SLC19A1	1	0	1	TRUE	FALSE	TRUE
SLC22A12	2	1	2	TRUE	TRUE	TRUE
SLC25A4	3	0	7	FALSE	TRUE	FALSE
SLC2A4	1	0	1	FALSE	FALSE	FALSE
SLC34A2	5	1	7	FALSE	TRUE	TRUE
SLC40A1	3	2	3	FALSE	TRUE	TRUE
SLC44A4	7	0	5	FALSE	FALSE	TRUE
SLC5A1	3	0	4	TRUE	TRUE	TRUE
SLC5A2	1	0	7	TRUE	TRUE	FALSE
SLC6A3	3	0	7	TRUE	TRUE	TRUE
SLC6A4	1	0	27	TRUE	FALSE	TRUE
SLC6A8	1	0	3	FALSE	TRUE	FALSE
SLC6A9	2	0	8	FALSE	TRUE	TRUE
SLC7A11	3	0	3	TRUE	FALSE	TRUE
SLC7A5	4	0	6	FALSE	FALSE	TRUE
SLC8A1	9	0	7	TRUE	FALSE	TRUE
SLC9A3	5	0	9	TRUE	TRUE	TRUE
SLIT2	3	0	2	FALSE	FALSE	TRUE
SLITRK6	7	0	3	FALSE	TRUE	TRUE
SMAD7	16	1	1	FALSE	FALSE	TRUE
SMN1	1	1	0	TRUE	TRUE	FALSE
SMO	5	4	25	TRUE	TRUE	FALSE
SMPD1	1	0	4	TRUE	TRUE	TRUE
SNCA	5	1	4	TRUE	TRUE	TRUE
SOAT1	3	1	7	FALSE	FALSE	TRUE
SOD1	1	1	14	TRUE	TRUE	TRUE
SORT1	10	1	3	FALSE	FALSE	TRUE
SOST	3	2	4	FALSE	TRUE	TRUE
SPINT2	4	0	2	FALSE	TRUE	TRUE
SQSTM1	2	0	13	FALSE	TRUE	FALSE
SRD5A2	6	0	2	TRUE	TRUE	TRUE
SRPK1	2	0	3	FALSE	FALSE	TRUE
SSTR2	2	0	23	TRUE	FALSE	TRUE
STAB1	6	0	10	FALSE	FALSE	TRUE
STAT1	3	0	3	FALSE	TRUE	TRUE
STAT3	14	7	21	FALSE	TRUE	TRUE
STAT6	7	0	2	FALSE	FALSE	FALSE
STEAP1	1	0	1	FALSE	FALSE	TRUE
SULT1E1	1	0	1	FALSE	FALSE	TRUE
SYK	6	0	44	TRUE	TRUE	TRUE
TACR1	1	0	16	TRUE	FALSE	TRUE
TACR3	8	0	5	TRUE	TRUE	TRUE
TACSTD2	1	0	3	TRUE	TRUE	FALSE
TAP1	4	0	3	FALSE	TRUE	FALSE
TBK1	1	0	1	FALSE	TRUE	TRUE
TBL1XR1	18	0	1	FALSE	TRUE	TRUE
TBXAS1	1	0	19	TRUE	TRUE	TRUE
TEAD1	5	0	1	FALSE	TRUE	TRUE
TEK	1	0	8	TRUE	TRUE	TRUE
TENT4B	2	0	1	FALSE	FALSE	TRUE
TFEB	8	0	4	FALSE	FALSE	TRUE
TFF1	1	0	1	FALSE	FALSE	TRUE
TFPI	2	0	3	FALSE	FALSE	TRUE
TFRC	9	1	6	FALSE	TRUE	TRUE
TGFB1	7	1	33	TRUE	TRUE	TRUE
TGFB2	11	1	11	FALSE	TRUE	TRUE
TGFBR1	4	1	20	FALSE	TRUE	TRUE
TGFBR2	9	0	1	FALSE	TRUE	TRUE
TGM1	2	0	1	FALSE	TRUE	TRUE
TH	8	0	2	TRUE	TRUE	TRUE
THBS1	4	0	7	FALSE	FALSE	TRUE
THPO	2	2	3	FALSE	TRUE	TRUE
THRB	13	0	7	FALSE	TRUE	TRUE
TIPARP	11	0	2	FALSE	FALSE	TRUE
TLR3	2	0	21	TRUE	FALSE	TRUE
TLR4	9	0	28	TRUE	FALSE	TRUE
TLR7	2	1	15	FALSE	TRUE	FALSE
TLR8	1	0	9	FALSE	TRUE	FALSE
TLR9	2	0	30	TRUE	FALSE	FALSE
TMPRSS15	2	0	4	FALSE	TRUE	TRUE
TMPRSS6	9	0	3	FALSE	TRUE	TRUE
TMSB4X	3	0	10	FALSE	FALSE	FALSE
TNC	9	1	9	FALSE	TRUE	TRUE
TNFRSF10A	1	0	6	FALSE	FALSE	TRUE
TNFRSF10B	6	0	25	FALSE	TRUE	TRUE
TNFRSF11A	13	0	1	FALSE	TRUE	TRUE
TNFRSF1A	8	2	25	TRUE	TRUE	TRUE
TNFRSF1B	1	0	4	FALSE	FALSE	TRUE
TNFRSF8	3	0	17	TRUE	FALSE	TRUE
TNFRSF9	2	0	15	FALSE	TRUE	TRUE
TNFSF13	2	0	3	TRUE	FALSE	FALSE
TNFSF13B	4	0	12	TRUE	FALSE	TRUE
TNFSF14	3	0	6	FALSE	FALSE	TRUE
TNFSF15	8	3	1	FALSE	FALSE	TRUE
TNFSF4	9	2	11	FALSE	FALSE	TRUE
TOP1	9	1	37	TRUE	FALSE	TRUE
TOP2A	1	1	51	TRUE	FALSE	FALSE
TP53	37	11	14	TRUE	TRUE	FALSE
TPBG	1	0	6	FALSE	FALSE	TRUE
TPP1	2	1	0	TRUE	TRUE	FALSE
TREM2	2	0	4	FALSE	TRUE	TRUE
TRHR	2	0	1	TRUE	TRUE	TRUE
TRPA1	1	0	15	TRUE	FALSE	TRUE
TRPC5	1	0	2	FALSE	FALSE	TRUE
TRPM8	3	1	9	FALSE	FALSE	TRUE
TRPV1	1	0	31	TRUE	FALSE	TRUE
TRPV4	7	0	4	FALSE	TRUE	TRUE
TRPV6	2	0	3	FALSE	TRUE	TRUE
TSHR	5	3	0	TRUE	TRUE	TRUE
TSLP	10	3	3	TRUE	FALSE	TRUE
TSPO	2	0	16	FALSE	FALSE	TRUE
TTK	1	0	4	FALSE	FALSE	TRUE
TTR	2	1	1	TRUE	TRUE	TRUE
TUBB	2	0	42	TRUE	TRUE	FALSE
TUBB3	3	0	1	FALSE	TRUE	TRUE
TXN	3	0	14	FALSE	FALSE	TRUE
TYK2	16	6	6	TRUE	TRUE	TRUE
TYMS	2	0	21	TRUE	TRUE	TRUE
TYR	19	1	0	FALSE	TRUE	TRUE
UBE3A	1	1	0	FALSE	TRUE	TRUE
UGCG	2	0	7	TRUE	FALSE	TRUE
UGT1A1	2	1	0	FALSE	TRUE	FALSE
USH2A	3	2	0	FALSE	TRUE	TRUE
USP1	2	0	1	FALSE	FALSE	TRUE
UTRN	2	0	1	FALSE	FALSE	TRUE
VCAM1	4	0	1	FALSE	FALSE	TRUE
VCP	3	0	6	FALSE	TRUE	TRUE
VDR	5	0	20	TRUE	TRUE	TRUE
VEGFA	33	3	41	TRUE	FALSE	TRUE
VEGFB	1	0	2	FALSE	FALSE	TRUE
VEGFC	5	0	8	FALSE	TRUE	TRUE
VIM	5	0	4	FALSE	TRUE	TRUE
VIPR1	1	0	7	TRUE	FALSE	TRUE
VIPR2	1	0	8	FALSE	FALSE	TRUE
VKORC1	6	0	4	FALSE	TRUE	FALSE
VSIR	1	0	3	FALSE	FALSE	TRUE
VWF	7	3	11	TRUE	TRUE	TRUE
WAS	3	1	0	FALSE	TRUE	FALSE
WEE1	1	0	11	FALSE	FALSE	TRUE
WNT3A	1	0	1	FALSE	FALSE	TRUE
WNT5A	1	0	3	FALSE	TRUE	TRUE
WT1	16	2	12	FALSE	TRUE	TRUE
XDH	2	0	4	TRUE	TRUE	TRUE
XIAP	1	0	3	FALSE	TRUE	FALSE
XPO1	6	4	33	TRUE	FALSE	TRUE
YAP1	6	0	1	FALSE	TRUE	TRUE
YES1	3	0	2	TRUE	FALSE	TRUE
